city,poi_id,poi_name,poi_category,place_id,review_id,source_review_id,review_date,review_rating,review_text,provider_language,detected_language,language_group,review_author,collection_date,source_platform,review_order_within_poi,transport_access,wayfinding_signage,english_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,scenic_value,worthwhile_destination,friendly_service,underpromoted_feature,easy_if_guided,good_for_itinerary_bundle,friction_codes,nudge_codes,all_codes,any_friction
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,cc6e5ca829e4,Ci9DQUlRQUNvZENodHljRjlvT2t4R2RuSjJPVkpLUVdaa2NVMWphbEk0UjJGSVpuYxAB,2026-05-29T11:07:25+00:00,5,"NHK特集の「永平寺」のドキュメンタリーのイメージがあったので、もっと物静かな寺かと思ったら、観光客ひっきりなしで、京都で言うと清水寺とまでは行かないが、知恩院ぐらいには賑やかで、ちょっとイメージと違った。とはいえ、福井随一の観光名所であることに間違いはない。

一方で、所定の観覧ルートに、目立つ仏像の類はなく、景色もあまり開けておらず、漫然と回ると、森の奥にある巨大で階段のきつい寺を見た、程度のイメージしか残らない可能性あり。個人的な見どころポイントを記載する。

１）駐車場
見どころでないが最初の関門。観光客呼び込みのオバチャンが令和の今でも健在だが無視。交差点近くにある「大本山永平寺」の緑看板ある自動開閉式駐車場（二箇所）が、相場より100円程度高いが、不快な思いをせず住む。Googleストリートビューで事前確認推奨。無人の200円駐車場というのもあるが初訪で見つけるのは無理だと思う。また町営駐車場が２，３箇所あるが、遠いので余程混んでい時以外は、避けるべき。

２）唐門（勅使門）
寺の案内では唐門とあり、GoogleMapでは勅使門と出る。受付ある門に左折せず、そのまままっすぐ進むと、苔むした階段を３０段ぐらい登った向こうに唐門（確かに勅使門っぽく見える）があり、その階段を立派な杉の木が両脇を囲む。これはJRか何かのポスターでも使われていた。階段から立ち入り禁止ということもあり、フォトジェニック度は随意一。ちなみに、ここは入場料不要。これだけで帰るのは勿論ナンセンスだが。

３）越前松平家廟所
観覧コース終盤、大すりこぎ棒がある大庫院を過ぎた後、左側に見える。立ち入り禁止、外から見るだけだが、大名墓地たる厳かさあり。

４）祠堂殿
越前松平家廟所の更に先、左側に、観覧コースか否か微妙に謎な脇道ルートにある。堂内には全国の信者から納められた位牌がずらっと並び、所々に仏像が置かれている。また法要が定期的に行われており、一番永平寺仕込みの法要に会いやすい？場所である。信者の方々の大切な信仰の時間なので邪魔とならないように気を付ける必要あり。法要時間はHPで載っているのでチェック。

５）宝物館
出口のすぐ手前にある。左が出口、右側が宝物館。案内も不親切で、素直に案内に従うと、そのまま出口コースに乗ってしまう罠あり。宝物館は無料で、これが見事。道元禅師直筆の国宝（複製、とは書いてなかった）『普勧坐禅儀』はじめ、歴代天皇から賜った宸翰、波多野→朝倉→信長→勝家→秀吉→家康  時々の権力者から発行された印状（家康だけは命令ｗ）の数々。寺院の宝物館は有料でもショボいものが多い中、ここは+200円ぐらいの有料でも納得のレベルで、無料は大サービス。最後なので体力勝負の面もあるが必見。

好みは人それぞれだが、拝観ルートに入ってしまうと、漫然と回って終わり、になる可能性があるので、予め見たい場所は予習しておいた方が良いと思われる。",en,ja,japanese,Reviewer_C08336,2026-06-08,google_maps_outscraper,0,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,"['transport_access', 'wayfinding_signage', 'staff_communication', 'waiting_crowding', 'accessibility_mobility']",,,True
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,906f0aa1ce0d,Ci9DQUlRQUNvZENodHljRjlvT21WSFNVSjRSV3BrVGs5bWF6aHBXVmRDYjNGRmMzYxAB,2026-05-28T21:29:33+00:00,5,さすがは総本山。圧巻でした。,en,ja,japanese,Reviewer_018082,2026-06-08,google_maps_outscraper,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],,,False
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,7b8ab906bdba,Ci9DQUlRQUNvZENodHljRjlvT2pacVNGbHJZbVJaTTBWaVNVbzRhM1JTVVRaS2JXYxAB,2026-05-28T11:49:56+00:00,4,"大きなお寺です。
座禅で心身を整えました。",en,ja,japanese,Reviewer_5E78D1,2026-06-08,google_maps_outscraper,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],,,False
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,d185ef7a7f14,Ci9DQUlRQUNvZENodHljRjlvT2xsMlNUWnlObkkzYTNneFp5MHRlbWREVVVaTk0zYxAB,2026-05-28T09:51:49+00:00,4,福井の永平寺に島根県の来待石を使用した灯篭があります。この情報は島根県の大社町の曹洞宗の寺院神光寺のご住職から聞き訪ねて写真を撮りました。神光寺のご住職への情報は地元の灯篭を調べている方からの情報だそうです。秋田県の弥高神社の灯篭ともよく似ており来待石の灯篭と思われます。何故島根県の来待石の灯篭が永平寺にあるのか興味深い内容ですが解りません。,en,ja,japanese,Reviewer_92180C,2026-06-08,google_maps_outscraper,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],,,False
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,a20c1994151b,Ci9DQUlRQUNvZENodHljRjlvT2xWRWFGOVFWSGhqVDAxUk9FWm9Na2hCUm1oRk5YYxAB,2026-05-26T01:59:20+00:00,5,雨降りでしたが、緑がきれいで空気も澄んで、人も少なく、落ち着いてみて回れました。,en,ja,japanese,Reviewer_E87BE4,2026-06-08,google_maps_outscraper,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],,,False
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,287f3d1e61da,Ci9DQUlRQUNvZENodHljRjlvT2t0SWFFRkxkbUpMYW1JMWVtSkpURkkzTVUweU9FRRAB,2026-05-25T16:24:37+00:00,5,ゴールデンウィークに行きましたが、思ったより混んでいなくて、しっかり回れました。心が落ち着きました。,en,ja,japanese,Reviewer_C423AE,2026-06-08,google_maps_outscraper,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,['waiting_crowding'],,,True
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,2c1d556212d3,Ci9DQUlRQUNvZENodHljRjlvT2pocFgxSXhlbWgxVkVGclVHa3pTRmROY1VwcE5WRRAB,2026-05-25T04:19:20+00:00,5,"26.05.24（日）来訪。実家が曹洞宗であることと、YouTubeで永平寺の修行や食に対する考え方に関心を持ち、一度は行ってみたいと思ってました。参拝料は700円/人です。

永平寺は道元禅師により、1244（寛元二）年に開かれた坐禅修行の道場で、山手にある境内では大小70の建物が並んでいます。

その中でも主要となる寺院の建物を「伽藍」と呼び、僧堂・大庫院・法堂・東司・浴室・仏殿・山門を七堂伽藍と呼びます。

深い山々に囲まれた境内には、杉の大木が立ち並び、苔むした石段や、清らかな湧水が流れ、厳かで澄んだ空気に包まれていました。

日曜日に訪れましたが、比較的混雑も少なく、ゆったりと境内を巡ることができました。",en,ja,japanese,Reviewer_1C200F,2026-06-08,google_maps_outscraper,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,['waiting_crowding'],,,True
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,8b246bbbe81a,Ci9DQUlRQUNvZENodHljRjlvT2psUlMza3pOMTh0YzNOMlNHTk5ha1F6YlVGSk9VRRAB,2026-05-24T12:13:46+00:00,5,一人旅で来ました。又、次は妻と一緒に来ます。,en,ja,japanese,Reviewer_FD0C0D,2026-06-08,google_maps_outscraper,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],,,False
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,0c9ed5bbadbf,Ci9DQUlRQUNvZENodHljRjlvT2pkRVQwWTVNR0o1TUc4NGNHUkJYMGhIVldkSWIxRRAB,2026-05-23T15:13:01+00:00,5,"曹洞宗の本山としてあまりに有名な寺院のため、海外からもたくさんの人が来訪されていました。回廊が傾斜地を巡っており、階段が多いので、歳をとるとなかなか大変なお寺です。訪問日は雨でしたが、新緑がより濃く見えてきれいでした。
回廊の屋根の一部が破損し、ブルーシートがかかっていたため、屋根修繕寄附金一口1000円をしてきました。少しでもお役に立てればうれしいです。
当日は車で行きましたが、公共の駐車場は坂の下で少し歩くので、永平寺入口近くのお土産屋さんの駐車場に停めました。1000円前払いで帰りにお土産1000円以上買うと1000円戻してくれます。預り証を発行してくれるので無くさないように。
羽二重餅と團助胡麻豆腐買っただけで楽ができたので良かったです。",en,ja,japanese,Reviewer_02B3CD,2026-06-08,google_maps_outscraper,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,['accessibility_mobility'],,,True
Fukui,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,Eiheiji Temple,temple_shrine,ChIJzYo4YsSX-F8R6Sl4_CeuUyw,7acf17cc96ce,Ci9DQUlRQUNvZENodHljRjlvT21OQ1ZGVk5NemxsTkd0Zll6ZDNURzF4TFMxTFEzYxAB,2026-05-22T04:38:45+00:00,5,"境内は非常に広くお掃除も行き届いていてどこもかしこも清々しい空気が流れていまた。
山の斜面に沿って広がっているので、階段を上がり見学です。足の悪い方は注意が必要です。",en,ja,japanese,Reviewer_FE5534,2026-06-08,google_maps_outscraper,10,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,['accessibility_mobility'],,,True
